measure,bucket,value
pack rows · top categories,1743 PIRING PLASTIK,2
pack rows · top categories,1748 MANGKUK KERTAS,9
pack rows · top categories,1749 MANGKUK MELAMIN,1
pack rows · top categories,1750 MANGKUK PLASTIK,6
pack rows · top categories,1752 MANGKUK STAINLESS STEEL,3
pack rows · top categories,1755 GELAS / CUP KERTAS,10
pack rows · top categories,1757 GELAS / CUP PLASTIK,13
pack rows · top categories,176 LEM MATERIAL,1
pack rows · top categories,1767 CANGKIR KERAMIK,2
pack rows · top categories,1769 CANGKIR PLASTIK,1
pack rows · top categories,177 MUR,17
pack rows · top categories,1774 SUMPIT BAMBU,1
pack rows · top categories,1777 SUMPIT STAINLESS STEEL,1
pack rows · top categories,1779 SEDOTAN PLASTIK,3
pack rows · top categories,178 PAKU,3
pack rows · top categories,1780 SEDOTAN STAINLESS STEEL,1
pack rows · top categories,1783 SENDOK ES KRIM KAYU,2
pack rows · top categories,1785 INVENTORY KANTOR,13
pack rows · top categories,1788 BARANG OBRAL,16
pack rows · top categories,179 PEREKAT,1
pack rows · top categories,1791 OLYMPIC,17
pack rows · top categories,181 SEAL TAPE,3
pack rows · top categories,1814 ARTEMEDIA,92
pack rows · top categories,1819 SAOS CABAI,4
pack rows · top categories,1822 SAOS TOMAT KEMASAN SACHET,4
pack rows · top categories,1824 MINUMAN BUBUK,6
pack rows · top categories,1835 MINUMAN SERBUK RASA COKLAT,7
pack rows · top categories,1836 BERAS PORANG,2
pack rows · top categories,1839 PENGGARIS,1
pack rows · top categories,1840 SERUTAN,2
pack rows · top categories,1848 SAMBAL KEMASAN SACHET,14
pack rows · top categories,1856 SAUS CABAI KEMASAN SACHET,7
pack rows · top categories,1857 TALENAN,1
pack rows · top categories,1858 BOX PENYIMPANAN MAKANAN,28
pack rows · top categories,1864 UNDERPAD,6
pack rows · top categories,1866 PELEMBUT & PEWANGI PAKAIAN (SOFTENER) KEMASAN SACHET,31
pack rows · top categories,1867 PELICIN PAKAIAN KEMASAN SACHET,10
pack rows · top categories,1868 PEMUTIH DAN PENGHILANG NODA KEMASAN SACHET,1
pack rows · top categories,1869 CAIRAN PEMBERSIH LANTAI KEMASAN SACHET,2
pack rows · top categories,1871 KARBOL KEMASAN SACHET,2
pack rows · top categories,1874 TEMPAT BUMBU,3
pack rows · top categories,1875 SARUNG TANGAN PLASTIK,6
pack rows · top categories,1878 SAKLAR,1
pack rows · top categories,1880 KUNCI Y,10
pack rows · top categories,1883 ISI LEM TEMBAK,2
pack rows · top categories,1889 SPATULA,3
pack rows · top categories,1890 CETAKAN MAKANAN,1
pack rows · top categories,191 KLEM KABEL,3
pack rows · top categories,192 KOTAK PERKAKAS (TOOL BOX),9
pack rows · top categories,194 PIPA,6
pack rows · top categories,196 SELANG SHOWER,4
pack rows · top categories,198 TALI PLASTIK TWIST TIE (CABLE TIE NYLON),24
pack rows · top categories,199 TALI RAFIA,3
pack rows · top categories,2 Keperluan Anak dan Bayi,16
pack rows · top categories,20 PERLENGKAPAN ANAK & BAYI,1
pack rows · top categories,200 TALI TAMBANG,5
pack rows · top categories,208 PERAWATAN MOTOR,2
pack rows · top categories,21 GIFT SET ANAK & BAYI,5
pack rows · top categories,219 PENITI,2
pack rows · top categories,22 Perawatan Diri,1
pack rows · top categories,23 Perawatan Diri & Rumah Tangga,3
pack rows · top categories,24 ALAT ALAT PERBAIKAN RUMAH,1
pack rows · top categories,240 BUNGA & TANAMAN ARTIFISIAL (BUATAN),2
pack rows · top categories,247 POT BUNGA,15
pack rows · top categories,25 MATERIAL PERBAIKAN RUMAH,4
pack rows · top categories,250 SELANG AIR,4
pack rows · top categories,252 PERALATAN BERKEBUN LAINNYA,1
pack rows · top categories,253 PERLENGKAPAN BERKEBUN LAINNYA,3
pack rows · top categories,255 TASBIH,1
pack rows · top categories,256 PERAWATAN HEWAN PELIHARAAN,10
pack rows · top categories,258 MAKANAN HEWAN PELIHARAAN,1
pack rows · top categories,26 PERLENGKAPAN PERBAIKAN RUMAH,6
pack rows · top categories,260 DISPENSER,1
pack rows · top categories,27 Perawatan & Suku Cadang Mobil,1
pack rows · top categories,270 PERLENGKAPAN KOMPUTER,7
pack rows · top categories,277 BATERAI,2
pack rows · top categories,278 BOHLAM,6
pack rows · top categories,286 KABEL GULUNG,58
pack rows · top categories,287 KIPAS ANGIN,6
pack rows · top categories,29 MENJAHIT,2
pack rows · top categories,292 SENTER,2
pack rows · top categories,294 STEKER,1
pack rows · top categories,298 CAT UNTUK MENGGAMBAR / MELUKIS,2
pack rows · top categories,299 CRAYON,18
pack rows · top categories,301 KANVAS,3
pack rows · top categories,302 KUAS CAT UNTUK MENGGAMBAR / MELUKIS,2
pack rows · top categories,303 PEN WARNA WARNI,5
pack rows · top categories,304 PENSIL WARNA WARNI,9
pack rows · top categories,305 PEN,7
pack rows · top categories,306 PENGHAPUS,10
pack rows · top categories,307 PENSIL,9
pack rows · top categories,308 SPIDOL,9
pack rows · top categories,309 STABILO,5
pack rows · top categories,31 OLAHRAGA,3
pack rows · top categories,310 TIPPEX,1
pack rows · top categories,315 BUKU AGENDA / JURNAL,3
pack rows · top categories,317 BUKU GAMBAR,32
pack rows · top categories,319 BUKU KWITANSI,5
pack rows · top categories,320 BUKU NOTA,1
pack rows · top categories,321 BUKU TULIS,23
pack rows · top categories,322 BALON,12
pack rows · top categories,324 FRAME FOTO,7
pack rows · top categories,325 KEMBANG API,3
pack rows · top categories,328 STIKER,3
pack rows · top categories,332 TOPI PESTA/TOPI ULANG TAHUN,1
pack rows · top categories,333 AKSESORIS ULANG TAHUN LAINNYA,11
pack rows · top categories,334 BOX FILE,7
pack rows · top categories,339 KERTAS FOLIO,1
pack rows · top categories,340 KERTAS KADO,1
pack rows · top categories,341 KERTAS KARTON,3
pack rows · top categories,342 KERTAS MANILA,1
pack rows · top categories,345 KERTAS STIKER,1
pack rows · top categories,346 AMPLOP,18
pack rows · top categories,348 BINDER CLIP,3
pack rows · top categories,351 CELENGAN,72
pack rows · top categories,358 KANTONG WARNA WARNI,13
pack rows · top categories,359 KARET GELANG,1
pack rows · top categories,36 ALAT ELEKTRONIK KANTOR & GADGET,1
pack rows · top categories,360 KOTAK KADO,81
pack rows · top categories,361 KOTAK PENSIL (PENCIL CASE),6
pack rows · top categories,362 LAKBAN,2
pack rows · top categories,365 PAPER CLIP,3
pack rows · top categories,367 SAMPUL BUKU,8
pack rows · top categories,368 SELOTIP,7
pack rows · top categories,37 ALAT ELEKTRONIK RUMAH LAINNYA,6
pack rows · top categories,371 STICKY NOTES,7
pack rows · top categories,374 WHITE BOARD,8
pack rows · top categories,375 AKSESORIS RAMBUT ANAK,1
pack rows · top categories,377 AKSESORIS FASHION DEWASA LAINNYA,7
pack rows · top categories,378 AKSESORIS RAMBUT DEWASA,1
pack rows · top categories,38 ALAT MENGGAMBAR / MELUKIS,3
pack rows · top categories,380 IKAT PINGGANG,4
pack rows · top categories,382 KIPAS TANGAN LIPAT,1
pack rows · top categories,385 ROLL (GULUNGAN) RAMBUT DEWASA,2
pack rows · top categories,386 SAPU TANGAN DEWASA,1
pack rows · top categories,39 ALAT TULIS,3
pack rows · top categories,395 BATIK PRIA,1
pack rows · top categories,398 ATASAN WANITA,8
pack rows · top categories,404 PAKAIAN DALAM WANITA,1
pack rows · top categories,408 JAM TANGAN PRIA,3
pack rows · top categories,41 BUKU TULIS,28
pack rows · top categories,417 BROS ANAK-ANAK,1
pack rows · top categories,418 CINCIN ANAK-ANAK,1
pack rows · top categories,42 DEKORASI & KELENGKAPAN PESTA,14
pack rows · top categories,422 ANTING DEWASA,4
pack rows · top categories,425 GELANG DEWASA,1
pack rows · top categories,430 KAUS KAKI PRIA,6
pack rows · top categories,432 SANDAL PRIA,1
pack rows · top categories,438 KAUS KAKI WANITA,2
pack rows · top categories,44 KERTAS,69
pack rows · top categories,442 SEPATU FLAT DAN SEPATU BALET WANITA,4
pack rows · top categories,447 TAS ANAK,5
pack rows · top categories,448 TAS PRIA,1
pack rows · top categories,449 TAS TRAVEL & KOPER,34
pack rows · top categories,45 PERALATAN UMUM,13
pack rows · top categories,450 TAS WANITA,1
pack rows · top categories,453 KUAS & APLIKATOR MAKE UP,1
pack rows · top categories,454 AKSESORIS ALAT KECANTIKAN,2
pack rows · top categories,460 DEKORASI PEWARNA KUKU,1
pack rows · top categories,466 EYEBROW,1
pack rows · top categories,47 AKSESORIS FASHION ANAK,2
pack rows · top categories,48 AKSESORIS FASHION DEWASA,7
pack rows · top categories,486 MANDI BOLA,5
pack rows · top categories,488 SEPEDA ANAK,2
pack rows · top categories,489 KARTU DOMINO,1
pack rows · top categories,49 FASHION ANAK & BAYI,2
pack rows · top categories,490 KARTU REMI,1
pack rows · top categories,492 BUBBLE WRAP ,1
pack rows · top categories,498 TERPAL,3
pack rows · top categories,"5 Hobi, Ibadah, dan Olahraga",3
pack rows · top categories,504 MINUMAN BERPROTEIN,1
pack rows · top categories,509 MINUMAN ENERGI,8
pack rows · top categories,51 FASHION WANITA,1
pack rows · top categories,510 MINUMAN KESEHATAN,68
pack rows · top categories,511 MINUMAN RASA BUAH,52
pack rows · top categories,515 YOGHURT,17
pack rows · top categories,516 MINUMAN LAINNYA,20
pack rows · top categories,519 KOPI BUBUK INSTAN KEMASAN BUNGKUS/SACHET,141
pack rows · top categories,52 JAM TANGAN,1
pack rows · top categories,523 KOPI KEMASAN PACK,14
pack rows · top categories,524 TEH CELUP,87
pack rows · top categories,525 TEH BUBUK,13
pack rows · top categories,527 TEH INSTAN SERBUK BERPERISA,42
pack rows · top categories,528 TEH KEMASAN BOTOL,1
pack rows · top categories,53 KACAMATA,1
pack rows · top categories,531 TEH KEMASAN PACK,5
pack rows · top categories,532 BISKUIT SEASONAL ,10
pack rows · top categories,533 COOKIES & BISKUIT,69
pack rows · top categories,534 CRACKERS,5
pack rows · top categories,535 WAFER,21
pack rows · top categories,536 KERIPIK KENTANG,5
pack rows · top categories,540 KERIPIK LAINNYA,1
pack rows · top categories,541 GRANOLA BAR & NUTRISI BAR,3
pack rows · top categories,544 PUDDING & JELLY,35
pack rows · top categories,545 RUMPUT LAUT,19
pack rows · top categories,546 JAJANAN TRADISIONAL,2
pack rows · top categories,547 SNACK LAINNYA,14
pack rows · top categories,548 MARSHMALLOW,1
pack rows · top categories,549 PERMEN,94
pack rows · top categories,550 PERMEN GULA KAPAS,2
pack rows · top categories,552 PERMEN KARET,17
pack rows · top categories,553 PERMEN PENYEGAR NAFAS,37
pack rows · top categories,555 BAHAN PEWARNA DAN PERISA KUE,1
pack rows · top categories,557 BUBUK PUDDING/JELLY/AGAR-AGAR DAN VLA,2
pack rows · top categories,558 RAGI,5
pack rows · top categories,560 BERAS CAMPUR,5
pack rows · top categories,565 BUMBU MASAK INSTAN,7
pack rows · top categories,566 BUMBU PENYEDAP,10
pack rows · top categories,567 GARAM,2
pack rows · top categories,568 BUMBU REMPAH,11
pack rows · top categories,570 SANTAN,1
pack rows · top categories,571 BUMBU DAPUR LAINNYA,3
pack rows · top categories,573 ES KRIM,17
pack rows · top categories,574 GULA PASIR,9
pack rows · top categories,576 GULA AREN,1
pack rows · top categories,581 PEMANIS & PENGGANTI GULA,10
pack rows · top categories,583 ANEKA DIMSUM BEKU,2
pack rows · top categories,584 BAKSO BEKU,15
pack rows · top categories,585 DAGING AYAM BEKU,2
pack rows · top categories,586 DAGING SAPI BEKU,3
pack rows · top categories,587 GYOZA / PANGSIT BEKU,1
pack rows · top categories,588 IKAN & SEAFOOD BEKU,2
pack rows · top categories,590 MANTAU BEKU,1
pack rows · top categories,596 SOSIS BEKU,36
pack rows · top categories,597 MAKANAN BEKU LAINNYA,18
pack rows · top categories,60 TAS & KOPER,31
pack rows · top categories,609 SOSIS SIAP MAKAN,10
pack rows · top categories,61 SERAGAM & ATRIBUT SEKOLAH,3
pack rows · top categories,612 MIE INSTAN BUNGKUS,27
pack rows · top categories,618 MIE SOA KERING,1
pack rows · top categories,628 MINYAK KELAPA,1
pack rows · top categories,633 KEJU,23
pack rows · top categories,635 MENTEGA (BUTTER),4
pack rows · top categories,643 SAOS  PEDAS & SAMBAL,1
pack rows · top categories,650 KUE,16
pack rows · top categories,652 OAT & HAVERMOUT,7
pack rows · top categories,653 ROTI,4
pack rows · top categories,654 SEREAL,34
pack rows · top categories,660 TEPUNG TAPIOKA,1
pack rows · top categories,663 ANGGUR,4
pack rows · top categories,67 BONEKA ,1
pack rows · top categories,670 JERUK,2
pack rows · top categories,672 KIWI,2
pack rows · top categories,679 NAGA,1
pack rows · top categories,68 MAINAN ANAK LAKI-LAKI,57
pack rows · top categories,681 PEAR,1
pack rows · top categories,69 MAINAN ANAK PEREMPUAN,18
pack rows · top categories,690 STRAWBERRY,2
pack rows · top categories,693 IKAN DORY SEGAR,1
pack rows · top categories,7 Alat dan Buku Tulis,46
pack rows · top categories,70 MAINAN BAYI & BALITA,4
pack rows · top categories,700 BAWANG BOMBAY,2
pack rows · top categories,701 BAWANG MERAH,2
pack rows · top categories,702 BAWANG PUTIH,2
pack rows · top categories,703 BAYAM,2
pack rows · top categories,704 BIT/BEETROOT,1
pack rows · top categories,705 BROKOLI,2
pack rows · top categories,706 BUNCIS,1
pack rows · top categories,707 CABE,11
pack rows · top categories,708 CAISIM,1
pack rows · top categories,710 DAUN BAWANG,1
pack rows · top categories,718 HORENZO,1
pack rows · top categories,719 JAGUNG,2
pack rows · top categories,72 MAINAN OLAHRAGA DAN AKTIVITAS,59
pack rows · top categories,720 JAHE ,3
pack rows · top categories,721 JAMUR,7
pack rows · top categories,726 KAILAN,1
pack rows · top categories,728 KANGKUNG,1
pack rows · top categories,736 KENTANG,4
pack rows · top categories,737 KENTANG MERAH,1
pack rows · top categories,739 KOL,2
pack rows · top categories,74 ALAT LAINNYA,2
pack rows · top categories,741 KUNYIT,3
pack rows · top categories,743 LABU SIAM,1
pack rows · top categories,744 LABU/PUMPKIN,1
