id,name,depth,is_leaf,products,full_path,measured_need,measured_n,share_net_content,share_pack_count,share_colour,share_flavour,share_material,share_garment_size,share_scent,share_model_code,inferred_verdict,inferred_node,inferred_n,inferred_attrs,inferred_flagged_ancestor,inferred_tier
1405,ANTI NYAMUK ELEKTRIK KEMASAN DENGAN ALAT & ISI,5,true,6,Perawatan Diri & Rumah Tangga > Rumah Tangga > ANTI HAMA & SERANGGA > ANTI NYAMUK ELEKTRIK > ANTI NYAMUK ELEKTRIK KEMASAN DENGAN ALAT & ISI,net_content,1,0.5,0.0,0.0,0.0,0.0,0.0,0.167,0.0,UNMAPPED,,0,,,
1528,TISU,6,false,6,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN KEBERSIHAN RUMAH TANGGA > TISU,,0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
1655,SCOOP ICE CREAM (ES KRIM),7,true,6,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > ALAT DAPUR & AKSESORIS DAPUR > SCOOP ICE CREAM (ES KRIM),,0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,FUZZY,Rumah & Taman > Dapur & Ruang Makan > Peralatan & Perlengkapan Dapur > Scoop > Scoop Es Krim,6,Petunjuk pembersihan | Warna | Bahan pegangan | Pola | Mekanisme pelepas sendok | Bahan alat/perkakas,False,fuzzy-raw
1666,ARANG,7,true,6,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > ALAT MASAK > ARANG,material,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,UNMAPPED,,0,,,
1673,TEMPAT PENYIMPANAN MINUMAN / CAIRAN,7,false,6,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > TEMPAT PENYIMPANAN MAKANAN & MINUMAN > TEMPAT PENYIMPANAN MINUMAN / CAIRAN,net_content,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.167,UNMAPPED,,0,,,
1689,JERIGEN ,7,true,6,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > TEMPAT PENYIMPANAN LAINNYA > JERIGEN ,model_code,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,UNMAPPED,,0,,,
1844,SAOS BULGOGI,5,true,6,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > SAUS > SAUS BUMBU MASAK > SAOS BULGOGI,net_content,1,1.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
1845,SAUS BLACKPAPPER,5,true,6,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > SAUS > SAUS BUMBU MASAK > SAUS BLACKPAPPER,colour|net_content,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.167,UNMAPPED,,0,,,
98,MAKANAN DALAM KEMASAN & KALENG,3,false,5,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > MAKANAN DALAM KEMASAN & KALENG,colour|flavour|net_content,3,1.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
112,TELUR,3,false,5,Makanan dan Minuman > FRESH > TELUR,flavour|pack_count,2,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,EXACT,"Makanan, Minuman & Tembakau > Item Makanan > Daging, Makanan Laut & Telur > Telur",7,Informasi alergen | Preferensi diet | Grade telur | Metode produksi telur | Ukuran telur | Hewan sumber telur | Persyaratan penyimpanan,True,exact-raw
185,DUCT KABEL (RUMAH KABEL),3,true,5,Perbaikan Rumah > PERLENGKAPAN PERBAIKAN RUMAH > DUCT KABEL (RUMAH KABEL),colour,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
265,OVEN KECIL,3,true,5,Elektronik > ALAT ELEKTRONIK DAPUR > OVEN KECIL,colour|model_code,2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,UNMAPPED,,0,,,
359,KARET GELANG,3,true,5,Alat dan Buku Tulis > PERALATAN UMUM > KARET GELANG,colour|net_content,2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,EXACT,Perlengkapan Kantor > Perlengkapan Kantor Umum > Karet Gelang,3,Kekuatan gelang | Warna | Pola,True,exact-raw
456,LIP GLOSS,3,true,5,Kosmetik dan Alat Kecantikan > MAKE UP BIBIR > LIP GLOSS,colour|net_content,2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,EXACT,Kesehatan & Kecantikan > Perawatan Tubuh > Kosmetik > Makeup > Riasan Bibir > Lip Gloss,18,Warna | Bahan penyusun | Finis kosmetik | Tingkat cakupan | Jenis dispenser | Rasa | Keharuman | Jenis aplikator lip gloss | Efek lip gloss | Formulasi lip gloss | Opasitas riasan bibir | Fitur riasan | Bahan | Pola | Sertifikasi & standar produk | Bentuk produk | Tingkat SPF | Cocok untuk jenis kulit,False,exact-raw
479,PRIMER,3,true,5,Kosmetik dan Alat Kecantikan > MAKE UP WAJAH > PRIMER,colour|net_content,2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,EXACT,Perkakas > Bahan Bangunan Habis Pakai > Bahan Pengecatan Habis Pakai > Primer,8,Kandungan Alkohol/Pelarut | Warna | Finis | Tujuan pemakaian | Pola | Penggunaan cat dasar | Formulasi produk | Ruang yang cocok,False,exact-raw
587,GYOZA / PANGSIT BEKU,4,true,5,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > MAKANAN BEKU > GYOZA / PANGSIT BEKU,net_content|pack_count,2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
617,KWETIAU KERING,4,true,5,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > MIE KERING & PASTA > KWETIAU KERING,net_content,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
674,LEMON,4,true,5,Makanan dan Minuman > FRESH > BUAH > LEMON,colour|flavour,2,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,EXACT,"Makanan, Minuman & Tembakau > Item Makanan > Buah & Sayur > Buah Segar & Beku > Buah Sitrus > Lemon",7,Informasi alergen | Preferensi diet | Bentuk produk makanan | Gaya potongan buah | Varietas lemon | Isi biji | Persyaratan penyimpanan,False,exact-raw
706,BUNCIS,4,true,5,Makanan dan Minuman > FRESH > SAYURAN SEGAR > BUNCIS,net_content,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
