id,name,name_en,depth,numchild,full_code,ancestor_names,products,products_active,products_subtree,children_sample,title_sample
256,PERAWATAN HEWAN PELIHARAAN,,3,5,A005-08-01,"Hobi, Ibadah, dan Olahraga > HEWAN PELIHARAAN",230,179,398,PERALATAN PERAWATAN ANJING | PERALATAN PERAWATAN BURUNG | PERALATAN PERAWATAN HAMSTER | PERALATAN PERAWATAN IKAN | PERALATAN PERAWATAN KUCING,"DOGGIE MEDICATED SHAMPOO 240 ML :: DOGGIE TICK SHAMPOO 240 ML :: HIMA PET CAT LAVENDER 3IN1 100 ML :: HIMA PET CAT MIRACLE BLUE 3IN1 100 ML :: HIMA PET DOG LAVENDER 3IN1 100 ML :: HIMA PET DOG LAVENDER 3IN1 100 ML :: HIMA PET DOG SAKURA 3IN1 100 ML :: PAWSTORY DOG SHAMPOO ANTI FUNGAL & ITCH 600 ML :: PAWSTORY DOG 2 IN 1 SHAMPOO & CONDITIONER 600 ML :: PAWSTORY KITTEN FRESH SHAMPOO MILD, GENTLE & TEARLESS 600 ML :: BIO NATURAL CAT SHAMPOO LEMON 100 ML :: BIO NATURAL CAT SHAMPOO STRAWBERRY 100 ML :: BIO NATURAL DOG SHAMPOO STRAWBERRY :: BIO NATURAL CAT SHAMPOO APPLE"
29,MENJAHIT,,2,15,A005-03,"Hobi, Ibadah, dan Olahraga",225,178,991,BENANG | BIDAL | EMROIDERY HOOP (ALAS MERAJUT) | GUNTING JAHIT | JARUM | KAIN FELT | KAPUR JAHIT | MATA PLASTIK UNTUK PRAKARYA | NEEDLE THREADER (MATA NENEK) | PENDEDEL | PENITI | PITA,KOREK KUPING BESI :: KANCING CETET BESAR PUTIH :: KANCINGC CETET BESAR HITAM :: KAIT MASSAG :: OLI SINGER :: KANCING CETET HITAM 555 :: KANCING CETET PUTIH 555 :: KANCING KAIT NEMOTO :: PALLET MESIN BIRU :: KANCING JAS BSR ABU MUDA :: HOOK&LOOP COKLAT :: KANCING PDH HITAM :: KANCING PDH COKLAT :: KANCING LB 4 UNGU
111,SAYURAN SEGAR,,3,90,A001-06-05,Makanan dan Minuman > FRESH,222,192,582,ALANG-ALANG | ARAGULA | ASAM JAWA | ASPARAGUS | BAWANG BOMBAY | BAWANG MERAH | BAWANG PUTIH | BAYAM | BIT/BEETROOT | BROKOLI | BUNCIS | CABE,ONE FRESH SAMBELEN PACK :: ONE FRESH JERUK SAMBAL PACK :: ONE FRESH SURAWUNG PACK :: ONE FRESH LEUNCA PACK :: JERUK LIMO LF LEMBANG FARM :: LEMBANG FARM KLUWEK PACK :: JERUK NIPIS LF LEMBANG FARM PACK :: LUMBUNG PADI JERUK NIPIS :: WANGUNSARI FARM BASIL PACK :: WANGUNSARI FARM DAUN KETUMBAR PACK :: BUKIT PAKAR LOLOROSA ORGANIK PACK :: BUKIT PAKAR SIOMAK ORGANIK PACK :: GINGSENG ORGANIK 250 GR BARUKAI LEAF :: BLESS FARM BAYAM MERAH 250 GR
14,MAKANAN KECIL ,,2,7,A001-04,Makanan dan Minuman,220,40,4077,"COKLAT MAKANAN KECIL | COOKIES, BISKUIT DAN LAIN LAIN | KERIPIK | KACANG DAN SNACK LAINNYA | PERMEN MARSHMALLOW DAN LAIN LAIN | BINGKISAN SNACK | PUDDING & JELLY",EAST BALI CHOCO-LAH COCO CHIPS 30 GR :: EAST BALI CHOCO-LAH POP & CHOC 30 GR :: MAYASI BAWANG 12 GR :: KWACI GAJAH B :: KWACI BIJI SEMANGKA 200 GR :: MAYASI KWACI MILK FLAVOR 150 GR :: BHIMA KUACI SEA SALT 150 GR :: NARAYA SUNFLOWER SEEDS SPICES POUCH 150 GR :: BHIMA KUACI CAFELATTE 150 GR :: KWACI CHA CHA ORIGINAL 100 GR :: CHEEBHOT CUANKI KARI AYAM :: SEBLAK CINTA ORIGINAL 80 GR :: CHEETOS PUFFS CHEDDAR CHEESE 60 GR :: LAY'S SOUR CREAM ONION 55 GR
41,BUKU TULIS,,2,7,A007-04,Alat dan Buku Tulis,219,172,527,BUKU AGENDA / JURNAL | BUKU FOLIO | BUKU GAMBAR | BUKU KAS | BUKU KWITANSI | BUKU NOTA | BUKU TULIS,BUKU TULIS BIG BOSS CAMPUS 50 LEMBAR ISI 10 :: BUKU TULIS KIKY BOXY 42 LEMBAR ISI 10 :: BUKU TULIS KIKY BOXY 50 LEMBAR ISI 10 :: BUKU TULIS KIKY DIKTAT 40 LEMBAR ISI 5 :: BUKU TULIS VISION 38 LEMBAR ISI 10 :: BUKU TULIS VISION 58 LEMBAR ISI 10 :: BUKU TULIS VISION B5 42 LEMBAR ISI 6 :: BUKU TULIS OKEY 58 LEMBAR ISI 10 :: BUKU TULIS SIDU 38 LEMBAR ISI 10 :: BUKU TULIS SIDU 32 LEMBAR ISI 10 :: BUKU TULIS SIDU 58 LEMBAR ISI 10 :: BUKU TULIS MAXI CAMPUS 50 LEMBAR ISI 10 :: BUKU TULIS BIG BOSS 42 LEMBAR ISI 6 :: BUKU TULIS SIDU 100 LEMBAR ISI 5
1410,DETERJEN CAIR,,5,3,A003-02-02-01-02,Perawatan Diri & Rumah Tangga > Rumah Tangga > BAHAN LAUNDRY > DETERJEN PAKAIAN,218,147,246,DETERJEN CAIR UNTUK PAKAIAN ANAK ATAU BAYI | DETERJEN CAIR UNTUK PAKAIAN BATIK | DETERJEN CAIR UNTUK PAKAIAN DEWASA,MAX KLEEN DETERJEN LIQUID COLOR PROTECTION 600 ML :: MAX KLEEN DETERJEN LIQUID ANTI ODOR 700 ML :: BIOSOFT 375 ML :: RINSO GENTLE LIQUID 700 ML :: RINSO LIQUID ACTIVE FRESH 700 ML :: RINSO MOLTO LIQUID ROYAL GOLD LIQUID 700 ML :: ATTACK EASY LIQUID DETERGENT SPARKLING BLOOMING REFILL 1.2 LT :: RINSO MOLTO PERFUME ESSENCE LIQUID 1.65 LT :: RINSO MOLTO ANTI NODA LIQUID CLASSIC FRESH REFILL 700 ML :: ATTACK EASY LIQUID DETERGENT SWEET GLAMOUR REFILL 1.2 LT :: ATTACK PLUS SOFTENER LIQUID 1.2 LT :: RINSO MOLTO LIQUID ROSE FRESH REFILL 200 ML :: ATTACK EASY DETERJEN LIQUID LIVELY ENERGETIC REFILL 750 ML :: MOLTO CARE DETERGENT SPARKLING GLAMOUR REFILL 700 ML
449,TAS TRAVEL & KOPER,,3,3,A008-14-03,Fashion > TAS & KOPER,199,197,392,AKSESORIS TRAVEL & KOPER | KOPER KABIN | KOPER BAGASI,"TAS KARUNG JUMBO.. :: TAS KARUNG  40X45 :: TAS KARUNG B. :: TAS KARUNG A3 :: TAS KARUNG 50X55 :: KOPER POLO 18"" :: TAS BELANJA MOTIF UKURAN BESAR :: TAS BELANJA MOTIF UKURAN KECIL :: TAS BELANJA MOTIF UKURAN JUMBO :: TAS BELANJA MOTIF UKURAN SEDANG :: 1546 TAS TRAVEL :: 1535 TAS TRAVEL :: 1905-25 TRAVEL BAG :: COKLAT KECIL 38X38"
44,KERTAS,,2,9,A007-07,Alat dan Buku Tulis,173,153,446,KERTAS CONCORD | KERTAS CREPE | KERTAS FOLIO | KERTAS KADO | KERTAS KARTON | KERTAS MANILA | KERTAS MINYAK | KERTAS PRINTER | KERTAS STIKER,BIG BOSS LOOSE LEAF B5 ISI 100 LEMBAR :: BIG BOSS LOOSE LEAF PINK B5 ISI 100 LEMBAR :: BIG BOSS LOOSE LEAF YELLOW B5 ISI 50 LEMBAR :: BIG BOSS LOOSE LEAF RAINBOW B5 ISI 50 LEMBAR :: BIG BOSS LOOSE LEAF YELLOW A5 ISI 50 LEMBAR :: BIG BOSS LOOSE LEAF BLUE A5 ISI 50 LEMBAR :: BIG BOSS LOOSE LEAF GREEN A5 ISI 50 LEMBAR :: BIG BOSS LOOSE LEAF PINK A5 ISI 100 LEMBAR :: JOYKO LOOSE LEAF TITIK A5 ISI 50 LEMBAR :: JOYKO LOOSE LEAF KOTAK A5 ISI 50 LEMBAR :: JOYKO LOOSE LEAF A5 ISI 50 LEMBAR :: KENKO LOOSE LEAF GARIS A5 ISI 100 LEMBAR :: KENKO LOOSE LEAF GARIS A5 ISI 50 LEMBAR :: JOYKO LOOSE LEAF PLAIN B5 ISI 50 LEMBAR
2,Keperluan Anak dan Bayi,Baby and Kids,1,4,A002,,170,167,2894,PERAWATAN ANAK & BAYI | PERALATAN UNTUK ANAK & BAYI | PERLENGKAPAN ANAK & BAYI | GIFT SET ANAK & BAYI,ZWITSAL NATURAL BASIC PACK 350 GR :: ZWITSAL BABY NATURAL CARE SMALL BOX :: CB MILK BOTTLE BPA FREE 125ML RL :: TL-3665 TL DS. WARNA PRINT+APLIKASI DBK :: DMM 8011 HITAM DISNEY XBUNNY MM CHARACTER BOTTLE BRUSH WITH FOAM :: GL-1289 BIRU GELAS BAYI GAGANG 2 TINGGI :: TB-1600 PUTIH TEMPAT BEDAK SEGI ANTI PECAH :: TB-1521 PINK TEMPAT BDK DOBEL+KAPAS+C.BUDS :: TB-1507 PINK TEMPAT BEDAK KACANG :: BS-8004 MERAH BABY SET NEW BORN (SLIM) STK CAP :: PT-0001 NASAL ASPIRATOR :: GL-1286 BIRU GELAS BAYI GAGANG 2 :: TB-1518 PINK TEMPAT BEDAK KECIL :: TB-1600 PINK TEMPAT BEDAK SEGI ANTI PECAH
1546,TEMPAT PENYIMPANAN LAINNYA,,6,4,A003-02-05-01-03-06,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR,169,155,270,JERIGEN  | TONG AIR | KONTAINER | BOTOL SPRAYER,TRAVESSA LONG 0563 :: TRAVESSA LARGE 0562 :: TRAVESSA MEDIUM 0561 :: TIDY MESH LARGE 0558 :: TRAVESSA SMALL 0560 :: TIDY MESH SMALL 0556 :: CA-13 REVO STORAGE BOX 10LTR :: KOTAK TEMPAT ANTIBACTERIAL MASK :: GREEN LEAF TEMPAT PENSIL 1421 :: GREEN LEAF TEMPAT PENSIL 1422 :: TEMPAT TUSUK GIGI :: TEMPAT TUSUK GIGI PORTABLE :: TEMPAT TUSUK GIGI JACKY 5220 :: 0670 KERANJANG PULL N PUSH (WARNA RANDOM)
