id,name,name_en,depth,numchild,is_leaf,full_code,code,is_public,ancestors_are_public,path,parent_id,parent_name,ancestor_names,full_path_name,products,products_active,products_subtree
1248,SEPATU BOOTS ANAK LAKI-LAKI,,4,0,true,A008-11-01-04,04,true,true,0008000B00010004,428,SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI > SEPATU BOOTS ANAK LAKI-LAKI,1,1,1
1249,SEPATU OLAHRAGA ANAK LAKI-LAKI,,4,0,true,A008-11-01-05,05,true,true,0008000B00010005,428,SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI > SEPATU OLAHRAGA ANAK LAKI-LAKI,77,77,77
1250,SEPATU SLIP ON ANAK LAKI-LAKI,,4,0,true,A008-11-01-06,06,true,true,0008000B00010006,428,SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI > SEPATU SLIP ON ANAK LAKI-LAKI,0,0,0
1251,SEPATU SNEAKERS ANAK LAKI-LAKI,,4,0,true,A008-11-01-07,07,true,true,0008000B00010007,428,SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI LAKI-LAKI > SEPATU SNEAKERS ANAK LAKI-LAKI,128,128,128
429,SEPATU ANAK & BAYI PEREMPUAN,,3,9,false,A008-11-02,02,true,true,0008000B0002,57,SEPATU ANAK & BAYI,Fashion > SEPATU ANAK & BAYI,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,104,98,592
1252,KAUS KAKI ANAK & BAYI PEREMPUAN,,4,0,true,A008-11-02-01,01,true,true,0008000B00020001,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > KAUS KAKI ANAK & BAYI PEREMPUAN,60,58,60
1253,SANDAL ANAK PEREMPUAN,,4,0,true,A008-11-02-02,02,true,true,0008000B00020002,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SANDAL ANAK PEREMPUAN,334,318,334
1254,SANDAL GUNUNG ANAK PEREMPUAN,,4,0,true,A008-11-02-03,03,true,true,0008000B00020003,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SANDAL GUNUNG ANAK PEREMPUAN,1,1,1
1255,SEPATU BOOTS ANAK PEREMPUAN,,4,0,true,A008-11-02-04,04,true,true,0008000B00020004,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SEPATU BOOTS ANAK PEREMPUAN,0,0,0
1256,SEPATU FLAT DAN SEPATU BALET ANAK PEREMPUAN,,4,0,true,A008-11-02-05,05,true,true,0008000B00020005,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SEPATU FLAT DAN SEPATU BALET ANAK PEREMPUAN,35,35,35
1257,SEPATU OLAHRAGA ANAK PEREMPUAN,,4,0,true,A008-11-02-06,06,true,true,0008000B00020006,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SEPATU OLAHRAGA ANAK PEREMPUAN,13,13,13
1258,SEPATU SLIP ON ANAK PEREMPUAN,,4,0,true,A008-11-02-07,07,true,true,0008000B00020007,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SEPATU SLIP ON ANAK PEREMPUAN,0,0,0
1259,SEPATU SNEAKERS ANAK PEREMPUAN,,4,0,true,A008-11-02-08,08,true,true,0008000B00020008,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SEPATU SNEAKERS ANAK PEREMPUAN,45,45,45
1260,SEPATU WEDGES ANAK PEREMPUAN,,4,0,true,A008-11-02-09,09,true,true,0008000B00020009,429,SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN,Fashion > SEPATU ANAK & BAYI > SEPATU ANAK & BAYI PEREMPUAN > SEPATU WEDGES ANAK PEREMPUAN,0,0,0
58,SEPATU PRIA,,2,8,false,A008-12,12,true,true,0008000C,8,Fashion,Fashion,Fashion > SEPATU PRIA,558,555,1924
